savant_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitches,player_id,player_name,Height,Weight,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length
1184,621566,"Olson, Matt",77,225,0.257,0.231,0.278,0.488,0.312,0.333,0.274,118,459,92.3,17.6,2243,90.4,90.86,311,1184,0,0.5,6.52,115,146,130,151,302,329,304,22.4,-22.4,73.794763742,7.350559713
1086,660271,"Ohtani, Shohei",76,209,0.336,0.412,0.311,0.748,0.451,0.48,0.359,159,473,96.3,18.2,2252,89.5,89.88,316,1086,0,0.4000000000000060,6.43,118,146,130,152,300,326,307,-27.4,27.4,76.333436188,7.736417394
1073,683002,"Henderson, Gunnar",75,220,0.307,0.289,0.309,0.595,0.378,0.378,0.319,153,499,93.9,10.2,2220,89.2,89.47,232,1073,0,0.29999999999999700,6.46,118,147,126,152,298,328,304,0.9,-0.9,76.304358779,7.235244818
1056,547180,"Harper, Bryce",75,210,0.304,0.252,0.321,0.556,0.363,0.353,0.297,130,428,92.3,16,2239,88.8,89.14,260,1056,0,0.29999999999999700,6.51,116,146,130,151,294,326,302,-0.5,0.5,74.096613769,7.293470663
1008,646240,"Devers, Rafael",72,240,0.289,0.277,0.308,0.566,0.355,0.358,0.292,119,412,93.2,12.6,2263,89.9,90.17,291,1008,0,0.29999999999999700,6.48,114,146,130,152,286,325,308,11.5,-11.5,72.543497589,7.447481419
925,656941,"Schwarber, Kyle",72,225,0.288,0.288,0.307,0.575,0.359,0.377,0.297,126,438,94.6,15.8,2225,89.3,89.55,266,925,0,0.20000000000000300,6.45,120,145,128,151,296,327,298,-1.6,1.6,77.512495632,7.711593881
916,670541,"Alvarez, Yordan",77,227,0.341,0.296,0.326,0.637,0.411,0.425,0.34,154,452,93.6,19,2249,89.5,89.52,173,916,0,0,6.43,116,146,131,152,294,331,303,-16.2,16.2,76.529228755,7.580025459
843,665833,"Cruz, Oneil",79,220,0.291,0.215,0.345,0.505,0.334,0.359,0.306,111,382,96.7,10.1,2243,88.8,89.1,275,843,0,0.29999999999999700,6.43,116,146,126,151,300,326,303,10.8,-10.8,78.535987153,7.66458172
830,681082,"Merrill, Jackson ",75,195,0.256,0.128,0.263,0.384,0.269,0.291,0.277,104,406,87.1,16.3,2229,89.7,89.99,120,830,0,0.29999999999999700,6.47,114,146,112,150,285,319,300,24.9,-24.9,72.1,7.069934289
820,608369,"Seager, Corey",76,215,0.288,0.277,0.266,0.564,0.358,0.387,0.303,105,365,92.5,14.2,2224,88.9,89.05,178,820,0,0.09999999999999430,6.43,116,146,134,151,299,329,304,-0.3,0.3,72.28371272,6.646551415
