savant_data (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitches,player_id,player_name,Height,Weight,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length
1140,642715,"Adames, Willy",72,205,0.291,0.262,0.309,0.553,0.355,0.353,0.284,141,485,89.3,21,2292,90.4,90.75,314,1140,0,0.29999999999999700,6.48,107,150,121,145,304,322,293,-6.9,6.9,73.602824368,8.108796667
1083,542303,"Ozuna, Marcell",73,225,0.352,0.267,0.38,0.619,0.41,0.425,0.331,157,446,93.1,15.3,2254,89,89.45,334,1083,0,0.4000000000000060,6.55,108,151,124,147,309,329,298,-9.2,9.2,73.99552325,7.403684552
1072,677951,"Witt Jr., Bobby",73,200,0.344,0.274,0.346,0.618,0.401,0.408,0.335,175,508,93,15.9,2270,89.5,89.88,229,1072,0,0.4000000000000060,6.44,108,150,120,146,310,328,296,-26.7,26.7,74.696364422,7.098177313
1065,663728,"Raleigh, Cal",75,235,0.25,0.25,0.256,0.5,0.312,0.348,0.269,105,420,91.7,22.5,2184,89.3,89.6,302,1065,0,0.29999999999999700,6.41,112,146,124,150,297,325,296,12,-12,74.437054864,7.760661596
1060,606192,"Hernández, Teoscar",74,180,0.285,0.237,0.335,0.522,0.341,0.341,0.271,129,452,91.3,10.8,2238,89.4,89.82,347,1060,0,0.3999999999999920,6.48,108,151,123,147,306,323,295,8.6,-8.6,73.172679679,7.747774349
972,592450,"Judge, Aaron",79,282,0.386,0.46,0.382,0.846,0.516,0.517,0.368,160,415,96.7,19.5,2265,89.9,90.17,276,972,0,0.29999999999999700,6.5,106,151,123,145,307,331,294,-50.4,50.4,77.176608025,8.183325237
967,624413,"Alonso, Pete",75,245,0.267,0.243,0.277,0.51,0.326,0.331,0.27,124,465,90,14.4,2243,90.4,90.78,219,967,0,0.3999999999999920,6.53,108,151,123,146,304,326,295,12.1,-12.1,75.239619452,7.312987353
964,667670,"Rooker, Brent",75,225,0.329,0.305,0.352,0.634,0.403,0.399,0.306,141,429,92.1,18.9,2252,89.5,89.66,295,964,0,0.20000000000000300,6.42,108,151,122,146,303,324,295,-25.8,25.8,73.797246587,7.092909606
956,647304,"Naylor, Josh",71,250,0.258,0.236,0.242,0.495,0.316,0.323,0.278,119,461,90.6,12,2178,88.9,89.27,191,956,0,0.3999999999999920,6.47,116,146,126,150,291,323,300,8.1,-8.1,72.885779467,7.633739247
712,641933,"O'Neill, Tyler",71,210,0.28,0.34,0.313,0.62,0.375,0.349,0.25,84,300,92.4,22.6,2281,89.3,89.57,245,712,0,0.29999999999999700,6.47,107,151,122,146,292,323,298,3.1,-3.1,75.222271039,7.596742107
